SW_IO_term,S_GBUF_FEED_END0,S_GBUF_FEED_END1,S_GBUF_FEED_END2,S_GBUF_FEED_END3,W_GBUF_FEED_END0,W_GBUF_FEED_END1,W_GBUF_FEED_END2,W_GBUF_FEED_END3,A_OUT,A_IN_top,A_EN_top,GBUF_A_OUT,GBUF_B_OUT,GBUF_C_OUT,GBUF_D_OUT,SYS_RESET_RESET,GND0,VCC0
N_GBUF_BEG0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,#,1
N_GBUF_BEG1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,#,1
N_GBUF_BEG2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,#,1
N_GBUF_BEG3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,#,1
E_GBUF_BEG0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,#,1
E_GBUF_BEG1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,#,1
E_GBUF_BEG2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,#,1
E_GBUF_BEG3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,#,1
A_CLK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,#,2
A_IN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,#,2
A_EN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,#,2
GBUF_A_IN,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,#,10
GBUF_B_IN,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,#,10
GBUF_C_IN,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,#,10
GBUF_D_IN,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,#,10
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#,0
#,4,4,4,4,4,4,4,4,4,0,0,2,2,2,2,4,3,3,0
